Delayed,Season,Day,Time Period,Station,Bound,Line,Min Gap,Issue Category
0,Winter,Sunday,Night,KIPLING STATION,E,BD,0,Other
1,Winter,Sunday,Morning,EGLINTON STATION,S,YU,12,Other
1,Winter,Sunday,Morning,EGLINTON STATION,N,YU,12,Human & Operational Factors
1,Winter,Sunday,Morning,EGLINTON STATION,S,YU,8,Other
1,Winter,Sunday,Night,KENNEDY BD STATION,W,BD,12,Other
1,Winter,Sunday,Night,KIPLING STATION,E,BD,12,Other
0,Winter,Sunday,Night,FINCH STATION,S,YU,0,Other
1,Winter,Monday,Morning,EGLINTON STATION,S,YU,9,Other
0,Winter,Monday,Afternoon,BLOOR STATION,S,YU,0,Other
1,Winter,Monday,Afternoon,KIPLING STATION,E,BD,10,Miscellaneous & Passenger-Related Incidents
1,Winter,Monday,Afternoon,BLOOR STATION,S,YU,7,Miscellaneous & Passenger-Related Incidents
1,Winter,Monday,Evening,FINCH STATION,S,YU,8,Other
1,Winter,Monday,Evening,KENNEDY BD STATION,E,BD,10,Human & Operational Factors
1,Winter,Monday,Night,BLOOR STATION,S,YU,20,Other
1,Winter,Tuesday,Morning,KENNEDY BD STATION,W,BD,10,Miscellaneous & Passenger-Related Incidents
0,Winter,Tuesday,Morning,FINCH STATION,S,YU,0,Train Operations & Control Systems
0,Winter,Tuesday,Morning,BLOOR STATION,S,YU,0,Other
1,Winter,Tuesday,Afternoon,EGLINTON STATION,S,YU,8,Other
1,Winter,Tuesday,Afternoon,EGLINTON STATION,S,YU,6,Miscellaneous & Passenger-Related Incidents
1,Winter,Tuesday,Evening,EGLINTON STATION,N,YU,6,Other
0,Winter,Tuesday,Evening,BLOOR STATION,S,YU,0,Human & Operational Factors
1,Winter,Tuesday,Evening,EGLINTON STATION,S,YU,7,Human & Operational Factors
0,Winter,Tuesday,Evening,EGLINTON STATION,S,YU,0,Other
0,Winter,Tuesday,Night,EGLINTON STATION,S,YU,0,Human & Operational Factors
1,Winter,Wednesday,Afternoon,KIPLING STATION,E,BD,6,Other
0,Winter,Wednesday,Afternoon,BLOOR STATION,N,YU,0,Human & Operational Factors
1,Winter,Wednesday,Evening,EGLINTON STATION,S,YU,13,Other
1,Winter,Wednesday,Evening,BLOOR STATION,N,YU,7,Miscellaneous & Passenger-Related Incidents
1,Winter,Wednesday,Night,KENNEDY BD STATION,W,BD,8,Other
1,Winter,Thursday,Evening,KENNEDY BD STATION,W,BD,8,Other
1,Winter,Thursday,Evening,EGLINTON STATION,S,YU,8,Other
1,Winter,Thursday,Night,KENNEDY BD STATION,E,BD,8,Other
1,Winter,Thursday,Night,KIPLING STATION,E,BD,11,Train Operations & Control Systems
1,Winter,Friday,Morning,FINCH STATION,S,YU,6,Other
1,Winter,Friday,Morning,KENNEDY BD STATION,W,BD,6,Human & Operational Factors
0,Winter,Friday,Afternoon,BLOOR STATION,S,YU,0,Other
1,Winter,Friday,Afternoon,KIPLING STATION,E,BD,6,Other
1,Winter,Friday,Evening,EGLINTON STATION,S,YU,6,Train Operations & Control Systems
0,Winter,Friday,Night,KENNEDY BD STATION,W,BD,0,Miscellaneous & Passenger-Related Incidents
0,Winter,Saturday,Morning,KIPLING STATION,W,BD,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Saturday,Morning,KENNEDY BD STATION,W,BD,10,Other
1,Winter,Saturday,Morning,FINCH STATION,S,YU,12,Miscellaneous & Passenger-Related Incidents
1,Winter,Saturday,Morning,FINCH STATION,S,YU,12,Other
0,Winter,Saturday,Afternoon,EGLINTON STATION,N,YU,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Saturday,Evening,BLOOR STATION,N,YU,23,Other
0,Winter,Saturday,Night,BLOOR STATION,N,YU,0,Other
0,Winter,Saturday,Night,KIPLING STATION,E,BD,0,Other
1,Winter,Sunday,Morning,FINCH STATION,S,YU,12,Other
1,Winter,Sunday,Morning,KIPLING STATION,W,BD,15,Other
1,Winter,Sunday,Morning,EGLINTON STATION,N,YU,8,Other
1,Winter,Sunday,Afternoon,KIPLING STATION,E,BD,8,Other
0,Winter,Sunday,Afternoon,KENNEDY BD STATION,E,BD,0,Miscellaneous & Passenger-Related Incidents
0,Winter,Sunday,Night,BLOOR STATION,N,YU,0,Human & Operational Factors
0,Winter,Sunday,Night,BLOOR STATION,N,YU,0,Other
1,Winter,Monday,Morning,FINCH STATION,S,YU,8,Miscellaneous & Passenger-Related Incidents
1,Winter,Monday,Morning,EGLINTON STATION,N,YU,7,Train Operations & Control Systems
1,Winter,Monday,Afternoon,KIPLING STATION,E,BD,6,Other
1,Winter,Monday,Evening,KENNEDY BD STATION,W,BD,6,Miscellaneous & Passenger-Related Incidents
1,Winter,Monday,Evening,KENNEDY BD STATION,W,BD,8,Miscellaneous & Passenger-Related Incidents
0,Winter,Monday,Evening,BLOOR STATION,S,YU,0,Other
0,Winter,Tuesday,Night,KENNEDY BD STATION,W,BD,0,Human & Operational Factors
0,Winter,Tuesday,Afternoon,BLOOR STATION,S,YU,0,Other
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,6,Other
1,Winter,Tuesday,Evening,BLOOR STATION,N,YU,8,Miscellaneous & Passenger-Related Incidents
0,Winter,Tuesday,Evening,FINCH STATION,N,YU,0,Miscellaneous & Passenger-Related Incidents
0,Winter,Tuesday,Night,FINCH STATION,N,YU,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Wednesday,Morning,BLOOR STATION,S,YU,7,Other
0,Winter,Wednesday,Afternoon,BLOOR STATION,S,YU,0,Other
0,Winter,Wednesday,Afternoon,EGLINTON STATION,S,YU,0,Other
1,Winter,Wednesday,Evening,EGLINTON STATION,S,YU,6,Other
0,Winter,Wednesday,Evening,EGLINTON STATION,N,YU,0,Miscellaneous & Passenger-Related Incidents
0,Winter,Wednesday,Evening,EGLINTON STATION,N,YU,0,Other
0,Winter,Thursday,Afternoon,BLOOR STATION,S,YU,0,Other
1,Winter,Thursday,Afternoon,KENNEDY BD STATION,E,BD,11,Other
1,Winter,Thursday,Evening,BLOOR STATION,S,YU,6,Miscellaneous & Passenger-Related Incidents
1,Winter,Thursday,Night,KENNEDY BD STATION,W,BD,8,Human & Operational Factors
1,Winter,Friday,Morning,KENNEDY BD STATION,E,BD,8,Other
1,Winter,Friday,Evening,BLOOR STATION,S,YU,6,Other
1,Winter,Friday,Evening,FINCH STATION,N,YU,6,Other
1,Winter,Saturday,Morning,EGLINTON STATION,N,YU,0,Other
1,Winter,Saturday,Morning,KIPLING STATION,E,BD,10,Other
0,Winter,Saturday,Afternoon,BLOOR STATION,S,YU,0,Other
1,Winter,Saturday,Evening,KENNEDY BD STATION,W,BD,8,Human & Operational Factors
1,Winter,Saturday,Evening,EGLINTON STATION,N,YU,11,Other
0,Winter,Saturday,Evening,BLOOR STATION,N,YU,0,Human & Operational Factors
0,Winter,Sunday,Morning,FINCH STATION,S,YU,0,Train Operations & Control Systems
0,Winter,Sunday,Morning,KENNEDY BD STATION,W,BD,0,Human & Operational Factors
0,Winter,Monday,Morning,EGLINTON STATION,N,YU,0,Human & Operational Factors
0,Winter,Monday,Morning,BLOOR STATION,S,YU,0,Human & Operational Factors
1,Winter,Monday,Afternoon,KENNEDY BD STATION,W,BD,6,Other
0,Winter,Monday,Afternoon,BLOOR STATION,N,YU,0,Other
0,Winter,Monday,Evening,BLOOR STATION,N,YU,0,Other
0,Winter,Tuesday,Evening,KIPLING STATION,W,BD,0,Other
0,Winter,Tuesday,Evening,EGLINTON STATION,N,YU,0,Human & Operational Factors
0,Winter,Tuesday,Evening,EGLINTON STATION,S,YU,0,Other
0,Winter,Tuesday,Night,BLOOR STATION,S,YU,0,Human & Operational Factors
1,Winter,Tuesday,Night,KIPLING STATION,E,BD,8,Other
0,Winter,Wednesday,Evening,EGLINTON STATION,N,YU,0,Human & Operational Factors
1,Winter,Wednesday,Evening,KENNEDY BD STATION,W,BD,8,Miscellaneous & Passenger-Related Incidents
1,Winter,Wednesday,Night,EGLINTON STATION,N,YU,21,Other
1,Winter,Wednesday,Night,FINCH STATION,S,YU,10,Other
0,Winter,Thursday,Morning,BLOOR STATION,N,YU,0,Other
1,Winter,Thursday,Evening,KENNEDY BD STATION,E,BD,8,Other
0,Winter,Thursday,Night,KIPLING STATION,E,BD,0,Other
